ctgov,cause,time,estimate
NCT00152984,Adverse Event,34,0.9872
NCT00152984,Adverse Event,40,0.9851
NCT00152984,Adverse Event,43,0.983
NCT00152984,Adverse Event,50,0.983
NCT00152984,Adverse Event,52,0.9787
NCT00152984,Adverse Event,58,0.9787
NCT00152984,Adverse Event,61,0.9766
NCT00152984,Adverse Event,70,0.9766
NCT00152984,Adverse Event,73,0.9744
NCT00152984,Adverse Event,144,0.9744
NCT00153023,Adverse Event,1,0.9966
NCT00153023,Adverse Event,24,0.992
NCT00153023,Adverse Event,27,0.9863
NCT00153023,Adverse Event,37,0.9769
NCT00153023,Adverse Event,41,0.9769
NCT00153023,Adverse Event,47,0.9746
NCT00153023,Adverse Event,52,0.9698
NCT00153023,Adverse Event,62,0.9675
NCT00153023,Adverse Event,66,0.9651
NCT00153023,Adverse Event,71,0.9591
NCT00153023,Adverse Event,97,0.9544
NCT00153023,Adverse Event,145,0.9339
NCT00153023,Adverse Event,175,0.9315
NCT00153023,Adverse Event,195,0.9243
NCT00153023,Adverse Event,223,0.9194
NCT00153023,Adverse Event,234,0.9194
NCT00153023,Adverse Event,244,0.9145
NCT00153023,Adverse Event,258,0.9133
NCT00153023,Adverse Event,263,0.9084
NCT00153023,Adverse Event,273,0.9084
NCT00153023,Adverse Event,291,0.9022
NCT00153023,Adverse Event,292,0.8998
NCT00153023,Adverse Event,300,0.8985
NCT00153023,Adverse Event,333,0.8985
NCT00153023,Adverse Event,335,0.896
NCT00153023,Adverse Event,358,0.896
NCT00153023,Adverse Event,359,0.8944
NCT00153023,Adverse Event,419,0.8944
NCT00153023,Other/Miscellaneous,1,0.9989
NCT00153023,Other/Miscellaneous,10,0.9989
NCT00153023,Other/Miscellaneous,13,0.9966
NCT00153023,Other/Miscellaneous,16,0.9966
NCT00153023,Other/Miscellaneous,21,0.9954
NCT00153023,Other/Miscellaneous,24,0.9931
NCT00153023,Other/Miscellaneous,25,0.9931
NCT00153023,Other/Miscellaneous,26,0.992
NCT00153023,Other/Miscellaneous,28,0.9873
NCT00153023,Other/Miscellaneous,33,0.9873
NCT00153023,Other/Miscellaneous,35,0.985
NCT00153023,Other/Miscellaneous,40,0.985
NCT00153023,Other/Miscellaneous,41,0.9838
NCT00153023,Other/Miscellaneous,66,0.9838
NCT00153023,Other/Miscellaneous,67,0.9814
NCT00153023,Other/Miscellaneous,69,0.9814
NCT00153023,Other/Miscellaneous,71,0.9801
NCT00153023,Other/Miscellaneous,81,0.9801
NCT00153023,Other/Miscellaneous,82,0.9789
NCT00153023,Other/Miscellaneous,90,0.9789
NCT00153023,Other/Miscellaneous,91,0.9777
NCT00153023,Other/Miscellaneous,165,0.9777
NCT00153023,Other/Miscellaneous,175,0.9764
NCT00153023,Other/Miscellaneous,182,0.9764
NCT00153023,Other/Miscellaneous,183,0.9752
NCT00153023,Other/Miscellaneous,205,0.9752
NCT00153023,Other/Miscellaneous,207,0.9739
NCT00153023,Other/Miscellaneous,419,0.9739
NCT00153023,Protocol Violation,1,0.9989
NCT00153023,Protocol Violation,10,0.9989
NCT00153023,Protocol Violation,13,0.9966
NCT00153023,Protocol Violation,34,0.9966
NCT00153023,Protocol Violation,35,0.9954
NCT00153023,Protocol Violation,36,0.9954
NCT00153023,Protocol Violation,37,0.9942
NCT00153023,Protocol Violation,43,0.9942
NCT00153023,Protocol Violation,47,0.993
NCT00153023,Protocol Violation,90,0.993
NCT00153023,Protocol Violation,91,0.9917
NCT00153023,Protocol Violation,123,0.9917
NCT00153023,Protocol Violation,125,0.9905
NCT00153023,Protocol Violation,179,0.9905
NCT00153023,Protocol Violation,182,0.9879
NCT00153023,Protocol Violation,191,0.9879
NCT00153023,Protocol Violation,193,0.9866
NCT00153023,Protocol Violation,214,0.9866
NCT00153023,Protocol Violation,223,0.9853
NCT00153023,Protocol Violation,234,0.984
NCT00153023,Protocol Violation,328,0.984
NCT00153023,Protocol Violation,330,0.9826
NCT00153023,Protocol Violation,343,0.9826
NCT00153023,Protocol Violation,344,0.9812
NCT00153023,Protocol Violation,350,0.9812
NCT00153023,Protocol Violation,351,0.9798
NCT00153023,Protocol Violation,419,0.9798
NCT00153023,Voluntary Withdrawal,1,0.9977
NCT00153023,Voluntary Withdrawal,9,0.9955
NCT00153023,Voluntary Withdrawal,16,0.992
NCT00153023,Voluntary Withdrawal,27,0.992
NCT00153023,Voluntary Withdrawal,29,0.9885
NCT00153023,Voluntary Withdrawal,32,0.9885
NCT00153023,Voluntary Withdrawal,33,0.9862
NCT00153023,Voluntary Withdrawal,41,0.9815
NCT00153023,Voluntary Withdrawal,57,0.9815
NCT00153023,Voluntary Withdrawal,62,0.9803
NCT00153023,Voluntary Withdrawal,63,0.9791
NCT00153023,Voluntary Withdrawal,105,0.9778
NCT00153023,Voluntary Withdrawal,109,0.9766
NCT00153023,Voluntary Withdrawal,125,0.9766
NCT00153023,Voluntary Withdrawal,128,0.9754
NCT00153023,Voluntary Withdrawal,145,0.9754
NCT00153023,Voluntary Withdrawal,148,0.9741
NCT00153023,Voluntary Withdrawal,186,0.9741
NCT00153023,Voluntary Withdrawal,188,0.9728
NCT00153023,Voluntary Withdrawal,210,0.9715
NCT00153023,Voluntary Withdrawal,212,0.9703
NCT00153023,Voluntary Withdrawal,244,0.9703
NCT00153023,Voluntary Withdrawal,251,0.969
NCT00153023,Voluntary Withdrawal,279,0.9677
NCT00153023,Voluntary Withdrawal,280,0.9663
NCT00153023,Voluntary Withdrawal,361,0.9663
NCT00153023,Voluntary Withdrawal,362,0.9645
NCT00153023,Voluntary Withdrawal,419,0.9645
NCT00153088,Adverse Event,4,0.9981
NCT00153088,Adverse Event,18,0.9867
NCT00153088,Adverse Event,29,0.9867
NCT00153088,Adverse Event,55,0.9772
NCT00153088,Adverse Event,57,0.9715
NCT00153088,Adverse Event,60,0.9696
NCT00153088,Adverse Event,126,0.9542
NCT00153088,Adverse Event,165,0.9542
NCT00153088,Adverse Event,189,0.9503
NCT00153088,Adverse Event,196,0.9445
NCT00153088,Adverse Event,225,0.9386
NCT00153088,Adverse Event,273,0.9347
NCT00153088,Adverse Event,309,0.921
NCT00153088,Adverse Event,385,0.919
NCT00153088,Adverse Event,396,0.9088
NCT00153088,Adverse Event,419,0.9088
NCT00153088,Adverse Event,420,0.903
NCT00153088,Adverse Event,423,0.8998
NCT00153088,Adverse Event,446,0.8998
NCT00153088,Adverse Event,448,0.8964
NCT00153088,Adverse Event,449,0.889
NCT00153088,Adverse Event,481,0.889
NCT00153088,Adverse Event,487,0.8755
NCT00153088,Adverse Event,536,0.8755
NCT00153088,Adverse Event,549,0.87
NCT00153088,Adverse Event,595,0.87
NCT00153088,Adverse Event,598,0.8638
NCT00153088,Adverse Event,846,0.8638
NCT00153088,Voluntary Withdrawal,4,1
NCT00153088,Voluntary Withdrawal,18,1
NCT00153088,Voluntary Withdrawal,29,0.9981
NCT00153088,Voluntary Withdrawal,55,0.9981
NCT00153088,Voluntary Withdrawal,56,0.9961
NCT00153088,Voluntary Withdrawal,57,0.9961
NCT00153088,Voluntary Withdrawal,60,0.9942
NCT00153088,Voluntary Withdrawal,126,0.9942
NCT00153088,Voluntary Withdrawal,140,0.9922
NCT00153088,Voluntary Withdrawal,177,0.9922
NCT00153088,Voluntary Withdrawal,189,0.9901
NCT00153088,Voluntary Withdrawal,225,0.9901
NCT00153088,Voluntary Withdrawal,228,0.9881
NCT00153088,Voluntary Withdrawal,363,0.9881
NCT00153088,Voluntary Withdrawal,364,0.9858
NCT00153088,Voluntary Withdrawal,419,0.9858
NCT00153088,Voluntary Withdrawal,420,0.9827
NCT00153088,Voluntary Withdrawal,423,0.9827
NCT00153088,Voluntary Withdrawal,424,0.9792
NCT00153088,Voluntary Withdrawal,447,0.9792
NCT00153088,Voluntary Withdrawal,448,0.9717
NCT00153088,Voluntary Withdrawal,565,0.9717
NCT00153088,Voluntary Withdrawal,566,0.9653
NCT00153088,Voluntary Withdrawal,846,0.9653
NCT00168831,Adverse Event,1,0.998
NCT00168831,Adverse Event,3,0.997
NCT00168831,Adverse Event,9,0.982
NCT00168831,Adverse Event,13,0.976
NCT00168831,Adverse Event,14,0.971
NCT00168831,Adverse Event,27,0.9558
NCT00168831,Adverse Event,49,0.9445
NCT00168831,Adverse Event,55,0.9394
NCT00168831,Adverse Event,56,0.9363
NCT00168831,Adverse Event,99,0.9226
NCT00168831,Adverse Event,110,0.9153
NCT00168831,Adverse Event,112,0.91
NCT00168831,Adverse Event,118,0.91
NCT00168831,Adverse Event,124,0.9036
NCT00168831,Adverse Event,138,0.9015
NCT00168831,Adverse Event,143,0.8973
NCT00168831,Adverse Event,164,0.893
NCT00168831,Adverse Event,206,0.8769
NCT00168831,Adverse Event,216,0.8758
NCT00168831,Adverse Event,226,0.8682
NCT00168831,Adverse Event,244,0.8649
NCT00168831,Adverse Event,275,0.8485
NCT00168831,Adverse Event,302,0.8429
NCT00168831,Adverse Event,314,0.8374
NCT00168831,Adverse Event,330,0.8374
NCT00168831,Adverse Event,336,0.8362
NCT00168831,Adverse Event,337,0.8335
NCT00168831,Adverse Event,443,0.8335
NCT00168831,Lost to Follow-up,1,1
NCT00168831,Lost to Follow-up,26,0.999
NCT00168831,Lost to Follow-up,27,0.9979
NCT00168831,Lost to Follow-up,31,0.9979
NCT00168831,Lost to Follow-up,32,0.9968
NCT00168831,Lost to Follow-up,51,0.9968
NCT00168831,Lost to Follow-up,52,0.9958
NCT00168831,Lost to Follow-up,55,0.9958
NCT00168831,Lost to Follow-up,56,0.9947
NCT00168831,Lost to Follow-up,96,0.9947
NCT00168831,Lost to Follow-up,99,0.9935
NCT00168831,Lost to Follow-up,161,0.9935
NCT00168831,Lost to Follow-up,164,0.9923
NCT00168831,Lost to Follow-up,169,0.9923
NCT00168831,Lost to Follow-up,175,0.9911
NCT00168831,Lost to Follow-up,186,0.9911
NCT00168831,Lost to Follow-up,188,0.9899
NCT00168831,Lost to Follow-up,221,0.9899
NCT00168831,Lost to Follow-up,222,0.9887
NCT00168831,Lost to Follow-up,224,0.9887
NCT00168831,Lost to Follow-up,225,0.9875
NCT00168831,Lost to Follow-up,232,0.9875
NCT00168831,Lost to Follow-up,238,0.9862
NCT00168831,Lost to Follow-up,275,0.9862
NCT00168831,Lost to Follow-up,278,0.985
NCT00168831,Lost to Follow-up,283,0.985
NCT00168831,Lost to Follow-up,286,0.9837
NCT00168831,Lost to Follow-up,443,0.9837
NCT00168831,Other/Miscellaneous,1,1
NCT00168831,Other/Miscellaneous,33,1
NCT00168831,Other/Miscellaneous,35,0.9979
NCT00168831,Other/Miscellaneous,43,0.9979
NCT00168831,Other/Miscellaneous,45,0.9968
NCT00168831,Other/Miscellaneous,47,0.9968
NCT00168831,Other/Miscellaneous,49,0.9957
NCT00168831,Other/Miscellaneous,53,0.9957
NCT00168831,Other/Miscellaneous,55,0.9946
NCT00168831,Other/Miscellaneous,56,0.9924
NCT00168831,Other/Miscellaneous,60,0.9913
NCT00168831,Other/Miscellaneous,80,0.9913
NCT00168831,Other/Miscellaneous,82,0.9902
NCT00168831,Other/Miscellaneous,124,0.9902
NCT00168831,Other/Miscellaneous,129,0.989
NCT00168831,Other/Miscellaneous,152,0.989
NCT00168831,Other/Miscellaneous,153,0.9879
NCT00168831,Other/Miscellaneous,155,0.9879
NCT00168831,Other/Miscellaneous,160,0.9867
NCT00168831,Other/Miscellaneous,206,0.9867
NCT00168831,Other/Miscellaneous,210,0.9855
NCT00168831,Other/Miscellaneous,222,0.9855
NCT00168831,Other/Miscellaneous,223,0.9842
NCT00168831,Other/Miscellaneous,297,0.9842
NCT00168831,Other/Miscellaneous,302,0.983
NCT00168831,Other/Miscellaneous,443,0.983
NCT00168831,Protocol Violation,1,0.998
NCT00168831,Protocol Violation,10,0.997
NCT00168831,Protocol Violation,13,0.9939
NCT00168831,Protocol Violation,15,0.9909
NCT00168831,Protocol Violation,24,0.9909
NCT00168831,Protocol Violation,26,0.9898
NCT00168831,Protocol Violation,52,0.9898
NCT00168831,Protocol Violation,56,0.9866
NCT00168831,Protocol Violation,60,0.9855
NCT00168831,Protocol Violation,63,0.9833
NCT00168831,Protocol Violation,71,0.9811
NCT00168831,Protocol Violation,83,0.9811
NCT00168831,Protocol Violation,84,0.98
NCT00168831,Protocol Violation,88,0.98
NCT00168831,Protocol Violation,91,0.9777
NCT00168831,Protocol Violation,112,0.9777
NCT00168831,Protocol Violation,114,0.9766
NCT00168831,Protocol Violation,160,0.9766
NCT00168831,Protocol Violation,161,0.9754
NCT00168831,Protocol Violation,165,0.9754
NCT00168831,Protocol Violation,166,0.9743
NCT00168831,Protocol Violation,189,0.9743
NCT00168831,Protocol Violation,190,0.9731
NCT00168831,Protocol Violation,223,0.9719
NCT00168831,Protocol Violation,224,0.9707
NCT00168831,Protocol Violation,281,0.9707
NCT00168831,Protocol Violation,283,0.9694
NCT00168831,Protocol Violation,443,0.9694
NCT00168831,Voluntary Withdrawal,1,0.998
NCT00168831,Voluntary Withdrawal,3,0.996
NCT00168831,Voluntary Withdrawal,8,0.996
NCT00168831,Voluntary Withdrawal,14,0.9909
NCT00168831,Voluntary Withdrawal,16,0.9909
NCT00168831,Voluntary Withdrawal,17,0.9889
NCT00168831,Voluntary Withdrawal,33,0.9878
NCT00168831,Voluntary Withdrawal,41,0.9836
NCT00168831,Voluntary Withdrawal,56,0.9825
NCT00168831,Voluntary Withdrawal,69,0.9792
NCT00168831,Voluntary Withdrawal,114,0.9792
NCT00168831,Voluntary Withdrawal,118,0.9781
NCT00168831,Voluntary Withdrawal,119,0.9758
NCT00168831,Voluntary Withdrawal,132,0.9758
NCT00168831,Voluntary Withdrawal,146,0.9724
NCT00168831,Voluntary Withdrawal,167,0.9724
NCT00168831,Voluntary Withdrawal,175,0.97
NCT00168831,Voluntary Withdrawal,221,0.9665
NCT00168831,Voluntary Withdrawal,231,0.9628
NCT00168831,Voluntary Withdrawal,275,0.9616
NCT00168831,Voluntary Withdrawal,280,0.9591
NCT00168831,Voluntary Withdrawal,335,0.9591
NCT00168831,Voluntary Withdrawal,336,0.9574
NCT00168831,Voluntary Withdrawal,340,0.9574
NCT00168831,Voluntary Withdrawal,341,0.9529
NCT00168831,Voluntary Withdrawal,348,0.9529
NCT00168831,Voluntary Withdrawal,349,0.9408
NCT00168831,Voluntary Withdrawal,443,0.9408
NCT00168844,Adverse Event,1,0.998
NCT00168844,Adverse Event,12,0.9928
NCT00168844,Adverse Event,13,0.9856
NCT00168844,Adverse Event,15,0.9825
NCT00168844,Adverse Event,47,0.9751
NCT00168844,Adverse Event,51,0.9709
NCT00168844,Adverse Event,56,0.9614
NCT00168844,Adverse Event,62,0.9582
NCT00168844,Adverse Event,92,0.9518
NCT00168844,Adverse Event,98,0.9453
NCT00168844,Adverse Event,104,0.9442
NCT00168844,Adverse Event,129,0.9291
NCT00168844,Adverse Event,141,0.9281
NCT00168844,Adverse Event,144,0.9248
NCT00168844,Adverse Event,151,0.9226
NCT00168844,Adverse Event,191,0.9172
NCT00168844,Adverse Event,218,0.9084
NCT00168844,Adverse Event,237,0.9073
NCT00168844,Adverse Event,250,0.9039
NCT00168844,Adverse Event,253,0.9006
NCT00168844,Adverse Event,278,0.8961
NCT00168844,Adverse Event,282,0.8928
NCT00168844,Adverse Event,307,0.8883
NCT00168844,Adverse Event,312,0.8849
NCT00168844,Adverse Event,328,0.8849
NCT00168844,Adverse Event,336,0.8825
NCT00168844,Adverse Event,338,0.8772
NCT00168844,Adverse Event,449,0.8772
NCT00168844,Lost to Follow-up,1,0.998
NCT00168844,Lost to Follow-up,11,0.998
NCT00168844,Lost to Follow-up,14,0.9948
NCT00168844,Lost to Follow-up,25,0.9948
NCT00168844,Lost to Follow-up,28,0.9938
NCT00168844,Lost to Follow-up,44,0.9938
NCT00168844,Lost to Follow-up,47,0.9927
NCT00168844,Lost to Follow-up,80,0.9927
NCT00168844,Lost to Follow-up,84,0.9916
NCT00168844,Lost to Follow-up,98,0.9916
NCT00168844,Lost to Follow-up,100,0.9905
NCT00168844,Lost to Follow-up,116,0.9905
NCT00168844,Lost to Follow-up,119,0.9893
NCT00168844,Lost to Follow-up,127,0.9893
NCT00168844,Lost to Follow-up,128,0.9882
NCT00168844,Lost to Follow-up,168,0.9882
NCT00168844,Lost to Follow-up,171,0.987
NCT00168844,Lost to Follow-up,172,0.9858
NCT00168844,Lost to Follow-up,195,0.9858
NCT00168844,Lost to Follow-up,196,0.9846
NCT00168844,Lost to Follow-up,223,0.9846
NCT00168844,Lost to Follow-up,224,0.9834
NCT00168844,Lost to Follow-up,233,0.981
NCT00168844,Lost to Follow-up,258,0.981
NCT00168844,Lost to Follow-up,260,0.9798
NCT00168844,Lost to Follow-up,275,0.9786
NCT00168844,Lost to Follow-up,278,0.9774
NCT00168844,Lost to Follow-up,449,0.9774
NCT00168844,Other/Miscellaneous,1,1
NCT00168844,Other/Miscellaneous,8,1
NCT00168844,Other/Miscellaneous,11,0.999
NCT00168844,Other/Miscellaneous,13,0.9969
NCT00168844,Other/Miscellaneous,18,0.9958
NCT00168844,Other/Miscellaneous,28,0.9958
NCT00168844,Other/Miscellaneous,30,0.9948
NCT00168844,Other/Miscellaneous,53,0.9948
NCT00168844,Other/Miscellaneous,56,0.9926
NCT00168844,Other/Miscellaneous,59,0.9915
NCT00168844,Other/Miscellaneous,89,0.9915
NCT00168844,Other/Miscellaneous,92,0.9904
NCT00168844,Other/Miscellaneous,107,0.9904
NCT00168844,Other/Miscellaneous,116,0.987
NCT00168844,Other/Miscellaneous,166,0.987
NCT00168844,Other/Miscellaneous,168,0.9858
NCT00168844,Other/Miscellaneous,175,0.9858
NCT00168844,Other/Miscellaneous,181,0.9835
NCT00168844,Other/Miscellaneous,184,0.9835
NCT00168844,Other/Miscellaneous,185,0.9823
NCT00168844,Other/Miscellaneous,198,0.9823
NCT00168844,Other/Miscellaneous,201,0.9811
NCT00168844,Other/Miscellaneous,218,0.9811
NCT00168844,Other/Miscellaneous,223,0.9787
NCT00168844,Other/Miscellaneous,229,0.9787
NCT00168844,Other/Miscellaneous,230,0.9775
NCT00168844,Other/Miscellaneous,237,0.9763
NCT00168844,Other/Miscellaneous,449,0.9763
NCT00168844,Voluntary Withdrawal,1,0.999
NCT00168844,Voluntary Withdrawal,3,0.9959
NCT00168844,Voluntary Withdrawal,10,0.9959
NCT00168844,Voluntary Withdrawal,12,0.9928
NCT00168844,Voluntary Withdrawal,13,0.9897
NCT00168844,Voluntary Withdrawal,14,0.9897
NCT00168844,Voluntary Withdrawal,15,0.9866
NCT00168844,Voluntary Withdrawal,22,0.9855
NCT00168844,Voluntary Withdrawal,25,0.9824
NCT00168844,Voluntary Withdrawal,55,0.9792
NCT00168844,Voluntary Withdrawal,56,0.976
NCT00168844,Voluntary Withdrawal,57,0.9749
NCT00168844,Voluntary Withdrawal,80,0.9716
NCT00168844,Voluntary Withdrawal,107,0.9716
NCT00168844,Voluntary Withdrawal,120,0.9705
NCT00168844,Voluntary Withdrawal,125,0.9683
NCT00168844,Voluntary Withdrawal,148,0.9683
NCT00168844,Voluntary Withdrawal,149,0.9671
